split_type,cell_line,model,combination,environment_count,CTCF,DNase,H3K4me3,RRBS,r2,rmse,mae,pearson,spearman,sample_count,eligible_count,n_invalid,status,warning
all,hek293t,cnn(3|3),sequence_ctcf_rrbs,2,True,False,False,True,-0.2687464278963787,0.1349386008389095,0.1083415414861763,-0.1195376354504763,-0.077482272827088,1,1,0,ok,
all,hek293t,cnn(3|3),sequence_dnase_h3k4me3,2,False,True,True,False,-0.2232029039374494,0.1324945572261742,0.1085137721666873,-0.1191911878483938,-0.0738167633927201,1,1,0,ok,
all,hek293t,cnn(3|3),sequence_dnase_rrbs,2,False,True,False,True,-0.3203181304580267,0.1376537604232807,0.112903025799678,-0.1414600363137925,-0.0976085313555658,1,1,0,ok,
all,hek293t,cnn(3|3),sequence_h3k4me3_rrbs,2,False,False,True,True,-0.2605706137912371,0.134503125336356,0.1084095603370048,-0.1147117162639313,-0.0761352990953646,1,1,0,ok,
all,hek293t,cnn(3|3),sequence_ctcf_dnase_h3k4me3,3,True,True,True,False,-0.2309741852895437,0.1329147746120026,0.1065351207749786,-0.1280273852931303,-0.0806856997474407,1,1,0,ok,
all,hek293t,cnn(3|3),sequence_ctcf_dnase_rrbs,3,True,True,False,True,-0.2870477998209841,0.1359083452308613,0.1109363285627454,-0.1402394628670444,-0.0898913085011004,1,1,0,ok,
all,hek293t,cnn(3|3),sequence_ctcf_h3k4me3_rrbs,3,True,False,True,True,-0.2430628954334155,0.1335658210196822,0.107443256248579,-0.1309042938087836,-0.0869478905173459,1,1,0,ok,
all,hek293t,cnn(3|3),sequence_dnase_h3k4me3_rrbs,3,False,True,True,True,-0.32385331692961,0.1378379230101068,0.1113897273760086,-0.1452717060137596,-0.1094163992942769,1,1,0,ok,
all,hek293t,cnn(3|3),all,4,True,True,True,True,-0.2179755706564354,0.1322111476882135,0.1072476626742284,-0.1026164797984758,-0.054368389576523,1,1,0,ok,
all,hek293t,cnn(5|3),sequence,0,False,False,False,False,-0.3673019148398373,0.1400815689915736,0.1114156474125804,-0.1725251937394583,-0.1304597895656153,1,1,0,ok,
all,hek293t,cnn(5|3),sequence_ctcf,1,True,False,False,False,-0.3356480434985791,0.1384505873814588,0.110527565727546,-0.1173524400871051,-0.0845482995624842,1,1,0,ok,
all,hek293t,cnn(5|3),sequence_dnase,1,False,True,False,False,-0.3821253034025123,0.1408388581608503,0.1130344615462789,-0.153441306421297,-0.1068178987088335,1,1,0,ok,
all,hek293t,cnn(5|3),sequence_h3k4me3,1,False,False,True,False,-0.3676727256837544,0.1401005626911198,0.1124739507975697,-0.1551558833773424,-0.1091264532428466,1,1,0,ok,
all,hek293t,cnn(5|3),sequence_rrbs,1,False,False,False,True,-0.4058134902024504,0.1420406462889038,0.1173636616921021,-0.1593734777100209,-0.1077384410619733,1,1,0,ok,
all,hek293t,cnn(5|3),sequence_ctcf_dnase,2,True,True,False,False,-0.3209298330146375,0.1376856441809437,0.1112945199737694,-0.1410943983297842,-0.1118346351490173,1,1,0,ok,
all,hek293t,cnn(5|3),sequence_ctcf_h3k4me3,2,True,False,True,False,-0.3204605590652198,0.1376611848856909,0.1093943167255893,-0.1466093002200779,-0.1106903773797211,1,1,0,ok,
all,hek293t,cnn(5|3),sequence_ctcf_rrbs,2,True,False,False,True,-0.3981426361952374,0.1416525921631197,0.1127650236868189,-0.1421596393294484,-0.1251679824748215,1,1,0,ok,
all,hek293t,cnn(5|3),sequence_dnase_h3k4me3,2,False,True,True,False,-0.3440350541892378,0.1388845974437773,0.1095770995423638,-0.1242639771657911,-0.1037506913013363,1,1,0,ok,
all,hek293t,cnn(5|3),sequence_dnase_rrbs,2,False,True,False,True,-0.3262697903436133,0.1379636657243641,0.1135043287038981,-0.1698058301494821,-0.1170339742784463,1,1,0,ok,
all,hek293t,cnn(5|3),sequence_h3k4me3_rrbs,2,False,False,True,True,-0.3788577673690081,0.1406722783447357,0.1103403120961533,-0.1224551113917291,-0.1031100311250464,1,1,0,ok,
all,hek293t,cnn(5|3),sequence_ctcf_dnase_h3k4me3,3,True,True,True,False,-0.4173102473211334,0.1426202685925169,0.1133341867982881,-0.123129996273705,-0.0997597383985326,1,1,0,ok,
all,hek293t,cnn(5|3),sequence_ctcf_dnase_rrbs,3,True,True,False,True,-0.4959393492852109,0.1465229923643116,0.114693716588357,-0.1223773280199277,-0.1019953044599933,1,1,0,ok,
all,hek293t,cnn(5|3),sequence_ctcf_h3k4me3_rrbs,3,True,False,True,True,-0.3982013275983285,0.1416555652868636,0.1128640976880964,-0.1297702600453404,-0.114935200545908,1,1,0,ok,
all,hek293t,cnn(5|3),sequence_dnase_h3k4me3_rrbs,3,False,True,True,True,-0.4481309760622796,0.1441626338015679,0.1145958746953093,-0.1516082729811275,-0.1247799262347826,1,1,0,ok,
all,hek293t,cnn(5|3),all,4,True,True,True,True,-0.4296633974087478,0.1432404529460234,0.1166745759003851,-0.1194573377664889,-0.0814165565691016,1,1,0,ok,
all,hek293t,cnn(7|3),sequence,0,False,False,False,False,-0.4686219139728227,0.1451789959600299,0.1139240260852721,-0.1376298888274928,-0.1109122911313824,1,1,0,ok,
all,hek293t,cnn(7|3),sequence_ctcf,1,True,False,False,False,-0.4041041201358444,0.1419542643177054,0.113549591648479,-0.1565802511218191,-0.1277416235867761,1,1,0,ok,
all,hek293t,cnn(7|3),sequence_dnase,1,False,True,False,False,-0.3552162925978217,0.139461102292684,0.1101304165750703,-0.1647486904408788,-0.1346192961180888,1,1,0,ok,
all,hek293t,cnn(7|3),sequence_h3k4me3,1,False,False,True,False,-0.4953420897761325,0.1464937395115224,0.1165222237840697,-0.1527042000143261,-0.1237213881095479,1,1,0,ok,
all,hek293t,cnn(7|3),sequence_rrbs,1,False,False,False,True,-0.5195528840787187,0.14767490359758,0.1184597374959994,-0.1517347606262247,-0.1207921023008215,1,1,0,ok,
all,hek293t,cnn(7|3),sequence_ctcf_dnase,2,True,True,False,False,-0.3188588845293028,0.1375776703442106,0.109936289286478,-0.1119396208072933,-0.065761379193761,1,1,0,ok,
all,hek293t,cnn(7|3),sequence_ctcf_h3k4me3,2,True,False,True,False,-0.4588366955547998,0.144694534161074,0.1163120140164669,-0.1561329010532377,-0.142764002317567,1,1,0,ok,
all,hek293t,cnn(7|3),sequence_ctcf_rrbs,2,True,False,False,True,-0.4529202610013105,0.1444008256601491,0.1151284287387063,-0.1609008018639351,-0.1405223910422883,1,1,0,ok,
